1798-1800 ,"Undeclared Naval War with France. This contest included land actions, such as that in the Dominican "
"","Republic, city of Puerto Plata, where marines captured a French privateer under the guns of the forts. "
"",Congress authorized military action through a series of statutes. 
1801-1805  ,Tripoli. The First Barbary War included the USS George Washington and Philadelphia affairs and the 
"","Eaton expedition, during which a few marines landed with United States Agent William Eaton to raise "
"",a force against Tripoli in an effort to free the crew of the Philadelphia. Tripoli declared war but not 
"","the United States, although Congress authorized U.S. military action by statute. "
1806  ,"Mexico (Spanish territory). Captain Z. M. Pike, with a platoon of troops, invaded Spanish territory at the "
"",headwaters of the Rio Grande on orders from General James Wilkinson. He was made prisoner 
"","without resistance at a fort he constructed in present-day Colorado, taken to Mexico, and later "
"",released after seizure of his papers. 
1806-1810  ,Gulf of Mexico. American gunboats operated from New Orleans against Spanish and French privateers 
"","off the Mississippi Delta, chiefly under Captain John Shaw and Master Commandant David Porter. "
1810  ,"West Florida (Spanish territory). Governor Claiborne of Louisiana, on orders of the President, occupied "
"","with troops territory in dispute east of the Mississippi River as far as the Pearl River, later the eastern "
"",boundary of Louisiana. He was authorized to seize as far east as the Perdido River. 
1812  ,"Amelia Island and other parts of east Florida, then under Spain. Temporary possession was authorized by "
"","President Madison and by Congress, to prevent occupation by any other power; but possession was "
"",obtained by General George Matthews in so irregular a manner that his measures were disavowed by 
"",the President. 
1812-1815  ,"War of 1812. On June 18, 1812, the United States declared war between the United "
"",States and the United Kingdom of Great Britain and Ireland. Among the issues leading to 
"",the war were British interception of neutral ships and blockades of the United States during British 
"",hostilities with France. 
1813  ,"West Florida (Spanish territory). On authority given by Congress, General Wilkinson seized Mobile Bay "
"",in April with 600 soldiers. A small Spanish garrison gave way. The United States advanced into 
"","disputed territory to the Perdido River, as projected in 1810. No fighting. "
1813-1814  ,Marquesas Islands. U.S. forces built a fort on the island of Nukahiva to protect three prize ships which 
"",had been captured from the British. 
1814  ,"Spanish Florida. General Andrew Jackson took Pensacola and drove out the British, with whom the "
"",United States was at war. 
1814-1825  ,"Caribbean. Engagements between pirates and American ships or squadrons took place repeatedly, "
"","especially ashore and offshore about Cuba, Puerto Rico, Santo Domingo, and Yucatan. Three "
"",thousand pirate attacks on merchantmen were reported between 1815 and 1823. In 1822 
"","Commodore James Biddle employed a squadron of two frigates, four sloops of war, two brigs, four "
"","schooners, and two gunboats in the West Indies. "
1815  ,Algiers. The second Barbary War was declared against the United States by the Dey of Algiers of the 
"","Barbary states, an act not reciprocated by the United States. Congress did authorize a military "
"",expedition by statutes. A large fleet under Decatur attacked Algiers and obtained indemnities. 
"","Tripoli. After securing an agreement from Algiers, Decatur demonstrated with his squadron at Tunis "
"","and Tripoli, where he secured indemnities for offenses during the War of 1812. "
1816  ,"Spanish Florida. United States forces destroyed Nicholls Fort, called also Negro Fort, which harbored "
"",raiders making forays into United States territory. 
1816-1818  ,"Spanish Florida—First Seminole War. The Seminole Indians, whose area was a haven for escaped slaves "
"","and border ruffians, were attacked by troops under Generals Jackson and Gaines and pursued into "
"","northern Florida. Spanish posts were attacked and occupied, British citizens executed. In 1819 the "
"",Floridas were ceded to the United States. 
1817  ,"Amelia Island (Spanish territory off Florida). Under orders of President Monroe, United States forces "
"","landed and expelled a group of smugglers, adventurers, and freebooters. "
1818  ,"Oregon. The USS Ontario, dispatched from Washington, landed at the Columbia River and in August "
"",took possession of Oregon territory. Britain had conceded sovereignty but Russia and Spain asserted 
"",claims to the area. 
1820-1823  ,Africa. Naval units raided the slave traffic pursuant to the 1819 act of Congress. 
1822  ,Cuba. United States naval forces suppressing piracy landed on the northwest coast of Cuba and 
"",burned a pirate station. 
1823  ,Cuba. Brief landings in pursuit of pirates occurred April 8 near Escondido; April 16 near Cayo Blanco; 
"",July 11 at Siquapa Bay; July 21 at Cape Cruz; and October 23 at Camrioca. 
1824  ,Cuba. In October the USS Porpoise landed bluejackets near Matanzas in pursuit of pirates. This was 
"",during the cruise authorized in 1822. 
"",Puerto Rico (Spanish territory). Commodore David Porter with a landing party attacked the town of 
"",Fajardo which had sheltered pirates and insulted American naval officers. He landed with 200 men in 
"",November and forced an apology. Commodore Porter was later court-martialed for overstepping his 
"",powers. 
1825  ,Cuba. In March cooperating American and British forces landed at Sagua La Grande to capture pirates. 
1827  ,"Greece. In October and November landing parties hunted pirates on the islands of Argenteire, Miconi, "
"",and Androse. 
1831-1832  ,Falkland Islands. Captain Duncan of the USS Lexington investigated the capture of three American 
"",sealing vessels and sought to protect American interests. 
1832  ,Sumatra. February 6 to 9. A naval force landed and stormed a fort to punish natives of the town of 
"",Quallah Battoo for plundering the American ship Friendship. 
1833  ,Argentina. October 31 to November 15. A force was sent ashore at Buenos Aires to protect the 
"",interests of the United States and other countries during an insurrection. 
1835-1836  ,"Peru. December 10, 1835, to January 24, 1836, and August 31 to December 7, 1836. Marines "
"",protected American interests in Callao and Lima during an attempted revolution. 
1836  ,"Mexico. General Gaines occupied Nacogdoches (Texas), disputed territory, from July to December "
"","during the Texan war for independence, under orders to cross the “imaginary boundary line” if an "
"",Indian outbreak threatened. 
1838-1839  ,"Sumatra. December 24, 1838, to January 4, 1839. A naval force landed to punish natives of the towns "
"",of Quallah Battoo and Muckie (Mukki) for depredations on American shipping. 
1840  ,Fiji Islands. July. Naval forces landed to punish natives for attacking American exploring and surveying 
"",parties. 
1841  ,"Drummond Island, Kingsmill Group. A naval party landed to avenge the murder of a seaman by the "
"",natives. 
"",Samoa. February 24. A naval party landed and burned towns after the murder of an American seaman 
"",on Upolu Island. 
1842  ,"Mexico. Commodore T.A.C. Jones, in command of a squadron long cruising off California, occupied "
"","Monterey, CA, on October 19, believing war had come. He discovered peace, withdrew, and saluted. "
"",A similar incident occurred a week later at San Diego. 
1843  ,China. Sailors and marines from the St. Louis were landed after a clash between Americans and 
"",Chinese at the trading post in Canton. 
"",Africa. November 29 to December 16. Four United States vessels demonstrated and landed various 
"",parties (one of 200 marines and sailors) to discourage piracy and the slave trade along the Ivory 
"","Coast, and to punish attacks by the natives on American seamen and shipping. "
1844  ,"Mexico. President Tyler deployed U.S. forces to protect Texas against Mexico, pending Senate "
"",approval of a treaty of annexation. (Later rejected.) He defended his action against a Senate 
"",resolution of inquiry. 
1846-1848  ,"Mexican War. On May 13, 1846, the United States recognized the existence of a state of "
"","war with Mexico. After the annexation of Texas in 1845, the United States and Mexico failed to "
"",resolve a boundary dispute and President Polk said that it was necessary to deploy forces in Mexico 
"",to meet a threatened invasion. 
1849  ,Smyrna. In July a naval force gained release of an American seized by Austrian officials. 
1851  ,"Turkey. After a massacre of foreigners (including Americans) at Jaffa in January, a demonstration by the "
"",Mediterranean Squadron was ordered along the Turkish (Levant) coast. 
"",Johanns Island (east of Africa). August. Forces from the U.S. sloop of war Dale exacted redress for the 
"",unlawful imprisonment of the captain of an American whaling brig. 
1852-1853  ,"Argentina. February 3 to 12, 1852; September 17, 1852, to April 1853. Marines were landed and "
"",maintained in Buenos Aires to protect American interests during a revolution. 
1853  ,Nicaragua. March 11 to 13. U.S. forces landed to protect American lives and interests during political 
"",disturbances. 
1853-1854  ,Japan. Commodore Perry and his naval expedition made a display of force leading to the “opening of 
